session_id,n_unique_categories,n_unique_models,n_clicks,avg_price_viewed,total_price_viewed,total_spend,purchase_flag,country,most_common_category,day_of_week,month,avg_spend_per_click,avg_price_per_click
1,4,8,8,43.875,351,1943,1,29,2,1,4,242.875,43.875
2,3,8,9,49.22222222222222,443,2345,1,29,2,1,4,260.55555555555554,49.22222222222222
3,2,3,3,44.666666666666664,134,422,1,21,3,1,4,140.66666666666666,44.666666666666664
4,2,4,4,45.25,181,438,1,21,1,1,4,109.5,45.25
5,1,1,1,57.0,57,57,1,9,3,1,4,57.0,57.0
6,1,3,3,39.666666666666664,119,228,1,9,3,1,4,76.0,39.666666666666664
7,3,8,8,36.0,288,1730,1,29,4,1,4,216.25,36.0
8,2,8,8,36.625,293,1531,1,9,3,1,4,191.375,36.625
9,2,3,3,41.0,123,265,1,29,1,1,4,88.33333333333333,41.0
10,2,5,5,45.4,227,696,1,16,2,1,4,139.2,45.4
11,1,1,1,72.0,72,72,1,9,1,1,4,72.0,72.0
12,3,6,7,50.142857142857146,351,1344,1,29,2,1,4,192.0,50.142857142857146
13,1,3,3,38.0,114,243,1,38,1,1,4,81.0,38.0
14,1,1,1,43.0,43,43,1,9,1,1,4,43.0,43.0
15,3,20,20,48.55,971,12425,1,21,2,1,4,621.25,48.55
16,1,1,1,28.0,28,28,1,29,4,1,4,28.0,28.0
17,3,4,4,45.25,181,660,1,9,2,1,4,165.0,45.25
18,1,5,5,52.6,263,1759,1,9,1,1,4,351.8,52.6
19,2,3,3,43.0,129,354,1,29,3,1,4,118.0,43.0
20,1,2,2,35.5,71,104,1,29,1,1,4,52.0,35.5
21,2,5,5,42.8,214,832,1,29,2,1,4,166.4,42.8
22,1,3,3,46.0,138,414,1,9,1,1,4,138.0,46.0
23,1,1,1,33.0,33,99,1,29,4,1,4,99.0,33.0
24,3,5,5,39.8,199,777,1,29,2,1,4,155.4,39.8
25,1,1,1,38.0,38,38,1,9,2,1,4,38.0,38.0
26,1,2,2,50.0,100,138,1,29,1,1,4,69.0,50.0
27,3,5,5,46.8,234,694,1,9,3,1,4,138.8,46.8
28,3,4,4,48.5,194,739,1,29,1,1,4,184.75,48.5
29,1,3,3,44.333333333333336,133,247,1,29,1,1,4,82.33333333333333,44.333333333333336
30,3,10,10,40.4,404,2299,1,29,1,1,4,229.9,40.4
31,3,7,9,43.666666666666664,393,2489,1,29,2,1,4,276.55555555555554,43.666666666666664
32,2,3,3,38.0,114,218,1,29,1,1,4,72.66666666666667,38.0
33,3,15,16,42.5,680,6842,1,29,4,1,4,427.625,42.5
34,1,1,1,57.0,57,114,1,24,2,1,4,114.0,57.0
35,2,5,5,50.4,252,766,1,24,1,1,4,153.2,50.4
36,1,1,2,33.0,66,99,1,29,4,1,4,49.5,33.0
37,3,5,5,50.4,252,942,1,29,2,1,4,188.4,50.4
38,2,4,4,45.25,181,477,1,29,1,1,4,119.25,45.25
39,2,2,2,38.0,76,104,1,41,1,1,4,52.0,38.0
40,2,6,6,42.833333333333336,257,1050,1,9,1,1,4,175.0,42.833333333333336
41,1,2,2,30.5,61,94,1,9,1,1,4,47.0,30.5
42,1,1,1,43.0,43,43,1,29,1,1,4,43.0,43.0
43,1,11,20,52.25,1045,11656,1,9,2,1,4,582.8,52.25
44,3,9,9,49.22222222222222,443,2854,1,9,2,1,4,317.1111111111111,49.22222222222222
45,1,3,3,43.666666666666664,131,284,1,12,1,1,4,94.66666666666667,43.666666666666664
46,1,1,1,62.0,62,62,1,9,1,1,4,62.0,62.0
47,2,4,4,48.75,195,508,1,29,2,1,4,127.0,48.75
48,2,3,3,38.0,114,228,1,29,4,1,4,76.0,38.0
49,3,27,27,45.111111111111114,1218,25392,1,9,1,1,4,940.4444444444445,45.111111111111114
50,1,4,4,48.75,195,490,1,29,2,1,4,122.5,48.75
51,1,3,4,58.5,234,622,1,9,1,1,4,155.5,58.5
52,3,8,9,42.77777777777778,385,1911,1,38,2,1,4,212.33333333333334,42.77777777777778
53,1,2,2,35.5,71,157,1,9,1,1,4,78.5,35.5
54,1,3,3,39.666666666666664,119,238,1,29,4,1,4,79.33333333333333,39.666666666666664
55,2,6,7,40.142857142857146,281,1404,1,29,3,1,4,200.57142857142858,40.142857142857146
56,4,7,7,39.57142857142857,277,1253,1,29,1,1,4,179.0,39.57142857142857
57,1,3,3,33.0,99,183,1,41,4,1,4,61.0,33.0
58,2,4,4,44.0,176,570,1,29,1,1,4,142.5,44.0
59,1,1,1,55.0,55,110,1,24,3,1,4,110.0,55.0
60,3,5,6,47.5,285,1063,1,21,2,1,4,177.16666666666666,47.5
61,2,4,4,48.75,195,728,1,24,2,1,4,182.0,48.75
63,1,4,4,36.75,147,340,1,9,3,1,4,85.0,36.75
64,1,10,13,56.53846153846154,735,5778,1,24,2,1,4,444.46153846153845,56.53846153846154
65,1,3,3,50.0,150,332,1,24,1,1,4,110.66666666666667,50.0
66,2,2,2,38.0,76,114,1,24,1,1,4,57.0,38.0
67,3,17,17,46.94117647058823,798,7698,1,24,1,1,4,452.8235294117647,46.94117647058823
68,1,1,1,43.0,43,43,1,24,1,1,4,43.0,43.0
69,3,11,11,48.18181818181818,530,3900,1,24,3,1,4,354.54545454545456,48.18181818181818
70,1,3,3,50.666666666666664,152,304,1,41,2,1,4,101.33333333333333,50.666666666666664
71,1,1,1,33.0,33,33,1,9,1,1,4,33.0,33.0
72,1,1,1,48.0,48,48,1,29,3,1,4,48.0,48.0
73,1,1,1,38.0,38,38,1,29,1,1,4,38.0,38.0
74,2,6,6,38.0,228,970,1,29,1,1,4,161.66666666666666,38.0
75,1,1,1,52.0,52,52,1,29,2,1,4,52.0,52.0
76,3,9,10,40.5,405,3023,1,29,4,1,4,302.3,40.5
77,1,4,4,46.25,185,677,1,29,2,1,4,169.25,46.25
